                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                0.90508,                0.68588,                 1.1661,                 0.8557,                0.83435,                0.87751,                0.60128,                  1.232,                 0.7284,                 1.5029,             0.00092435,             0.00092435,             0.00092435
                     47,                0.86138,                0.72193,                 1.1567,                0.78292,                0.84097,                0.89006,                0.61049,                 1.1966,                0.77064,                 1.4943,             0.00090785,             0.00090785,             0.00090785
                     48,                0.85322,                0.64149,                 1.1441,                0.90229,                0.86538,                0.92465,                0.65837,                 1.0669,                0.61336,                 1.3613,             0.00089134,             0.00089134,             0.00089134
                     49,                0.90439,                0.69114,                 1.1526,                0.88978,                0.83465,                0.92145,                0.64846,                 1.0955,                0.63132,                 1.3917,             0.00087484,             0.00087484,             0.00087484
                     50,                 0.8775,                0.67812,                 1.1564,                0.91411,                0.90795,                0.94258,                0.65757,                 1.1322,                0.59557,                 1.3836,             0.00085834,             0.00085834,             0.00085834
                     51,                 0.8248,                 0.6291,                 1.1213,                0.90287,                 0.9091,                0.93619,                0.65871,                 1.1243,                0.65774,                 1.4291,             0.00084184,             0.00084184,             0.00084184
                     52,                0.82501,                0.61013,                 1.1001,                0.90081,                0.80504,                0.90112,                0.63624,                 1.0831,                0.67333,                 1.3983,             0.00082533,             0.00082533,             0.00082533
                     53,                0.83103,                 0.6259,                 1.1169,                0.88198,                0.91538,                 0.9269,                0.66308,                 1.0693,                0.57783,                 1.3666,             0.00080883,             0.00080883,             0.00080883
                     54,                0.84567,                0.61793,                 1.1905,                0.97034,                0.83535,                0.93258,                0.64898,                 1.0976,                0.65529,                 1.4108,             0.00079233,             0.00079233,             0.00079233
                     55,                0.82137,                0.63148,                 1.1101,                0.90385,                0.85256,                0.93915,                0.62534,                 1.1287,                0.66044,                 1.4272,             0.00077582,             0.00077582,             0.00077582
                     56,                0.80358,                0.58337,                 1.1199,                0.91779,                0.89872,                0.93972,                0.64082,                 1.0325,                0.54513,                 1.4124,             0.00075932,             0.00075932,             0.00075932
                     57,                0.80991,                0.58861,                 1.1035,                0.88537,                0.82901,                0.90815,                0.61277,                 1.1169,                0.62616,                 1.4031,             0.00074282,             0.00074282,             0.00074282
                     58,                0.81357,                0.59298,                 1.1226,                0.92538,                  0.877,                0.92125,                0.63176,                 1.0596,                0.58604,                 1.3633,             0.00072631,             0.00072631,             0.00072631
                     59,                0.81806,                0.59925,                 1.1058,                0.90334,                0.88089,                0.91831,                0.62426,                 1.0471,                0.56846,                 1.3586,             0.00070981,             0.00070981,             0.00070981
                     60,                0.82268,                 0.6134,                 1.1253,                0.92428,                0.88705,                0.91919,                0.65842,                 1.0631,                0.57924,                 1.3812,             0.00069331,             0.00069331,             0.00069331
                     61,                0.76539,                0.57591,                 1.1061,                0.89822,                0.86538,                0.93667,                0.66616,                 1.0642,                0.60219,                 1.3842,              0.0006768,              0.0006768,              0.0006768
                     62,                0.82184,                 0.6252,                 1.1219,                 0.9489,                0.88587,                0.93809,                0.66089,                 1.0422,                0.54824,                 1.3598,              0.0006603,              0.0006603,              0.0006603
                     63,                0.79117,                0.58822,                 1.0956,                 0.9085,                0.90441,                0.93996,                0.67489,                 1.0455,                 0.5666,                 1.3246,              0.0006438,              0.0006438,              0.0006438
                     64,                0.77852,                 0.5679,                 1.0833,                0.89854,                0.87425,                0.92503,                0.65858,                  1.083,                0.56413,                 1.3621,             0.00062729,             0.00062729,             0.00062729
                     65,                0.75159,                0.56615,                 1.1107,                0.91401,                0.94172,                0.94418,                0.65238,                 1.0946,                0.56084,                 1.3984,             0.00061079,             0.00061079,             0.00061079
                     66,                0.72141,                0.54325,                  1.092,                0.87506,                0.94487,                0.93156,                0.64899,                 1.0467,                0.54244,                 1.3921,             0.00059429,             0.00059429,             0.00059429
                     67,                0.69634,                0.49898,                 1.0414,                0.91005,                0.90089,                0.94491,                0.66206,                 1.0682,                0.55712,                 1.4124,             0.00057778,             0.00057778,             0.00057778
                     68,                0.71289,                0.54715,                 1.0647,                0.90789,                0.86645,                0.92053,                0.63499,                 1.0884,                 0.6602,                 1.4039,             0.00056128,             0.00056128,             0.00056128
                     69,                0.76447,                0.56294,                 1.0915,                0.90677,                0.86154,                0.91503,                0.62435,                 1.1068,                 0.6413,                 1.4451,             0.00054478,             0.00054478,             0.00054478
                     70,                0.76933,                0.55815,                  1.091,                0.92958,                0.84872,                0.92899,                0.62903,                 1.1546,                 0.5791,                 1.4578,             0.00052827,             0.00052827,             0.00052827
                     71,                0.74334,                 0.5626,                 1.0861,                0.90579,                0.90779,                 0.9112,                0.64055,                 1.1043,                0.59185,                 1.3891,             0.00051177,             0.00051177,             0.00051177
                     72,                0.73832,                0.51601,                 1.0892,                0.87977,                0.93065,                0.94136,                0.66571,                 1.0429,                 0.5826,                 1.3337,             0.00049527,             0.00049527,             0.00049527
                     73,                0.69332,                0.49639,                  1.064,                0.92368,                0.90639,                0.94266,                0.67263,                 1.0567,                0.53798,                 1.3614,             0.00047876,             0.00047876,             0.00047876
                     74,                0.67011,                0.46438,                 1.0457,                0.94587,                0.90665,                0.94611,                0.67624,                 1.1033,                0.54955,                 1.3626,             0.00046226,             0.00046226,             0.00046226
                     75,                0.67116,                0.50285,                 1.0393,                0.94951,                0.90184,                0.94369,                0.65526,                 1.1993,                0.60562,                 1.4738,             0.00044576,             0.00044576,             0.00044576
                     76,                0.67543,                0.51792,                 1.0416,                0.87984,                0.89487,                0.92272,                0.65915,                 1.1404,                 0.5569,                 1.4027,             0.00042925,             0.00042925,             0.00042925
                     77,                0.67376,                0.50349,                 1.0484,                0.91752,                0.86084,                 0.9297,                0.68101,                 1.0305,                0.53363,                 1.3718,             0.00041275,             0.00041275,             0.00041275
                     78,                0.67139,                0.48988,                 1.0434,                0.91688,                0.87314,                0.93769,                0.65473,                 1.0842,                0.54851,                 1.3895,             0.00039625,             0.00039625,             0.00039625
                     79,                0.68701,                0.50728,                 1.0413,                0.88492,                0.91154,                0.94339,                0.67015,                 1.0602,                0.53295,                 1.4015,             0.00037974,             0.00037974,             0.00037974
                     80,                0.66355,                0.50693,                 1.0364,                0.92244,                0.90891,                0.94608,                0.67231,                 1.0729,                0.52374,                 1.4137,             0.00036324,             0.00036324,             0.00036324
                     81,                0.66145,                 0.4953,                 1.0423,                0.91605,                 0.8924,                0.92814,                0.65467,                 1.0526,                0.57398,                  1.366,             0.00034674,             0.00034674,             0.00034674
                     82,                0.61842,                0.45001,                 1.0067,                0.92552,                0.89872,                 0.9236,                0.67143,                 1.0996,                0.55657,                 1.3798,             0.00033023,             0.00033023,             0.00033023
                     83,                  0.624,                0.49014,                 1.0349,                0.91469,                0.87821,                0.92806,                0.67715,                 1.1334,                0.56229,                 1.4057,             0.00031373,             0.00031373,             0.00031373
                     84,                0.60799,                 0.4363,                 1.0105,                0.87383,                0.92821,                0.93924,                 0.6811,                 1.0623,                0.52994,                  1.374,             0.00029723,             0.00029723,             0.00029723
                     85,                0.64168,                0.43911,                 1.0204,                0.90182,                0.87821,                0.93391,                0.68242,                 1.0829,                0.53785,                 1.3723,             0.00028072,             0.00028072,             0.00028072
