                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     63,                0.70364,                0.49585,                 1.0393,                0.90839,                0.82686,                0.90348,                0.56937,                 1.3055,                0.86413,                  1.477,              0.0006438,              0.0006438,              0.0006438
                     64,                0.58321,                 0.5513,                 1.0171,                 0.8838,                0.83333,                0.90639,                0.57776,                 1.3457,                0.86837,                 1.5121,             0.00062729,             0.00062729,             0.00062729
                     65,                0.52974,                0.44264,                0.94379,                 0.8838,                0.83333,                0.90639,                0.57776,                 1.3457,                0.86837,                 1.5121,             0.00061079,             0.00061079,             0.00061079
                     66,                0.64455,                0.50684,                 1.0635,                0.89447,                0.83333,                0.89185,                0.56841,                 1.3278,                0.87073,                 1.5032,             0.00059429,             0.00059429,             0.00059429
                     67,                0.68967,                0.57831,                 1.0534,                0.90126,                0.83333,                0.88114,                0.57621,                 1.3598,                0.87202,                 1.5541,             0.00057778,             0.00057778,             0.00057778
                     68,                0.59467,                0.50559,                 1.0616,                0.98678,                0.83333,                0.88795,                0.57353,                 1.4337,                0.99811,                 1.6699,             0.00056128,             0.00056128,             0.00056128
                     69,                0.63841,                0.49253,                 1.0683,                0.98678,                0.83333,                0.88795,                0.57353,                 1.4337,                0.99811,                 1.6699,             0.00054478,             0.00054478,             0.00054478
                     70,                0.56589,                0.42018,                 1.0177,                0.81831,                0.83333,                0.87233,                0.55118,                 1.4081,                 1.0941,                 1.6579,             0.00052827,             0.00052827,             0.00052827
                     71,                0.53785,                0.43759,                 0.9884,                0.74823,                0.83333,                0.83731,                0.55144,                 1.3144,                 1.0901,                 1.5671,             0.00051177,             0.00051177,             0.00051177
                     72,                  0.508,                0.41818,                0.95912,                0.68451,                0.90469,                0.78417,                0.54855,                 1.2718,                 1.1887,                 1.5393,             0.00049527,             0.00049527,             0.00049527
                     73,                0.55669,                0.44619,                  1.015,                0.68451,                0.90469,                0.78417,                0.54855,                 1.2718,                 1.1887,                 1.5393,             0.00047876,             0.00047876,             0.00047876
                     74,                0.50191,                 0.4084,                 0.9799,                 0.7203,                0.58333,                0.72471,                 0.5059,                 1.2255,                 1.3003,                 1.5005,             0.00046226,             0.00046226,             0.00046226
                     75,                0.51558,                0.40526,                0.97533,                0.86769,                0.58333,                 0.7342,                0.51733,                 1.1764,                 1.3902,                 1.4804,             0.00044576,             0.00044576,             0.00044576
                     76,                 0.5035,                0.44292,                0.97671,                0.86952,                0.58333,                0.73644,                  0.488,                 1.1539,                 1.3675,                  1.486,             0.00042925,             0.00042925,             0.00042925
                     77,                0.51704,                0.40181,                0.96057,                0.86952,                0.58333,                0.73644,                  0.488,                 1.1539,                 1.3675,                  1.486,             0.00041275,             0.00041275,             0.00041275
                     78,                 0.4995,                 0.4156,                0.95307,                0.74564,                0.73401,                0.76904,                0.52452,                 1.1104,                 1.3036,                  1.467,             0.00039625,             0.00039625,             0.00039625
                     79,                0.46516,                0.38381,                0.95985,                0.74936,                0.74764,                0.83741,                0.57312,                 1.0989,                 1.1504,                 1.4521,             0.00037974,             0.00037974,             0.00037974
                     80,                0.48129,                0.37646,                0.97528,                0.78153,                 0.8955,                0.86697,                0.58453,                 1.1229,                 1.0742,                 1.4713,             0.00036324,             0.00036324,             0.00036324
                     81,                0.57078,                0.44679,                 1.0071,                0.78153,                 0.8955,                0.86697,                0.58453,                 1.1229,                 1.0742,                 1.4713,             0.00034674,             0.00034674,             0.00034674
                     82,                 0.4611,                0.38778,                0.93578,                0.90703,                0.81441,                0.88107,                0.56856,                 1.2116,                 1.0292,                 1.5587,             0.00033023,             0.00033023,             0.00033023
                     83,                 0.4826,                0.41207,                0.99358,                 0.8995,                0.83333,                0.87092,                0.55515,                 1.2356,                0.97967,                 1.6293,             0.00031373,             0.00031373,             0.00031373
                     84,                0.49325,                0.40196,                 0.9561,                0.90092,                0.83333,                0.87447,                0.56156,                 1.2651,                 1.0086,                 1.6993,             0.00029723,             0.00029723,             0.00029723
