                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     54,                0.78302,                0.48431,                  1.104,                0.95208,                0.96929,                0.95524,                0.59401,                 1.3804,                0.63973,                 1.5304,             0.00079233,             0.00079233,             0.00079233
                     55,                0.82848,                0.51591,                 1.1342,                0.97282,                0.95122,                0.95515,                0.62986,                 1.2724,                0.58134,                 1.4483,             0.00077582,             0.00077582,             0.00077582
                     56,                0.78311,                0.50268,                 1.1188,                0.97352,                0.89681,                 0.9442,                0.60605,                 1.1987,                0.60933,                 1.3797,             0.00075932,             0.00075932,             0.00075932
                     57,                0.73273,                0.48995,                  1.106,                0.97143,                0.92683,                0.94841,                0.62025,                 1.2215,                0.60656,                 1.3866,             0.00074282,             0.00074282,             0.00074282
                     58,                0.74773,                0.49157,                 1.0808,                0.97311,                0.92683,                0.95832,                0.63547,                 1.2975,                0.59896,                 1.4141,             0.00072631,             0.00072631,             0.00072631
                     59,                0.73858,                0.48621,                 1.0836,                0.97555,                 0.9734,                0.96438,                 0.6316,                 1.2831,                0.58649,                  1.435,             0.00070981,             0.00070981,             0.00070981
                     60,                0.69893,                0.45999,                 1.0857,                0.94863,                0.95122,                0.95695,                0.61606,                 1.3394,                0.63293,                 1.4968,             0.00069331,             0.00069331,             0.00069331
                     61,                0.75217,                0.47803,                 1.0737,                0.97555,                0.97336,                0.95825,                0.64194,                 1.3101,                0.61527,                  1.456,              0.0006768,              0.0006768,              0.0006768
                     62,                0.69338,                0.44509,                 1.0516,                0.97558,                0.97431,                0.96026,                0.64641,                 1.2632,                0.60642,                 1.4663,              0.0006603,              0.0006603,              0.0006603
                     63,                0.68454,                0.43947,                 1.0591,                0.95228,                0.97345,                0.96377,                0.63367,                 1.2737,                0.59533,                  1.444,              0.0006438,              0.0006438,              0.0006438
                     64,                0.72381,                0.44111,                 1.0833,                0.97494,                0.94911,                0.97046,                0.63153,                 1.3069,                0.61222,                 1.4783,             0.00062729,             0.00062729,             0.00062729
                     65,                0.71594,                0.46885,                 1.0705,                0.95104,                0.94769,                0.97283,                0.61825,                 1.3435,                0.63657,                 1.5328,             0.00061079,             0.00061079,             0.00061079
